Deal Date,Investors,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2007,Draper Fisher Jurvetson, Gannett Inc, Sand Hill Capital, US Venture Partners,,,,,,,,,,,,,,,,,,,,,,,
1/22/2009,Draper Fisher Jurvetson, Gannett Inc, Peacock Equity, Sand Hill Capital, Selby Venture Partners, US Venture Partners,,,,,,,,,,,,,,,,,,,,,
10/27/2011,Draper Fisher Jurvetson, Gannett Inc, Mitsui & Co Global Investment, US Venture Partners, Vulcan Capital,,,,,,,,,,,,,,,,,,,,,,
4/1/2013,Draper Fisher Jurvetson, US Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2013,Draper Fisher Jurvetson, Gannett Inc, Mezzanine Capital Partners, US Venture Partners, Vulcan Capital,,,,,,,,,,,,,,,,,,,,,,
2/7/2013,Coaxis, Inc., TA Associates, Updata Venture Partners,,,,,,,,,,,,,,,,,,,,,,,
12/19/2010,Fortune Venture Capital, Yijin Investment Company,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2013,Rivers Capital Partners, The UK Angel CoFund, Tweed Renaissance Investors Capital (TRI Cap),,,,,,,,,,,,,,,,,,,,,,,,
5/7/2001,212 Ventures, OVP Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2009,Implistic Capital, Quest Venture Partners, Y Combinator,,,,,,,,,,,,,,,,,,,,,,,,
3/14/2012,Crosslink Capital, Intel Capital,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2013,Crosslink Capital, Fung Capital, Intel Capital,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2010,Crosslink Capital, Fung Capital USA, Intel Capital, Wasabi Ventures, Y Combinator,,,,,,,,,,,,,,,,,,,,,,
6/3/2011,Deep Creek Capital, ff Venture Capital, High Line Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2013,Andreessen Horowitz, Creative Artists Agency, ff Venture Capital, Harrison Metal Capital, Rugged Ventures,,,,,,,,,,,,,,,,,,,,,,
9/20/2007,IDG Capital Partners, Sequoia Capital, SIG Asia Investment,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2006,Sequoia Capital, Susquehanna International Group,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2007,Intel Capital, Redpoint Ventures, Sequoia Capital, SIG Capital,,,,,,,,,,,,,,,,,,,,,,,
7/1/2008,Giant Interactive Group, Inc., Intel Capital, Redpoint Ventures, Sequoia Capital, Susquehanna International Group,,,,,,,,,,,,,,,,,,,,,
1/1/2005,IDG Capital Partners, KTB Ventures, Walden International,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2007,Walden International, Zero2IPO Capital,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2008,Dragon Capital, DT Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2006,Dragon Capital, DT Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2011,Qiming Venture Partners, Steamboat Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2007,JAFCO Investment (Asia Pacific), Morningside Group,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2005,Ceyuan Ventures, iD TechVentures,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2013,DCM, Shunwei Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2011,JAFCO Investment (Asia Pacific), Ventech,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2011,CDH Investments, Goldman Sachs, Zero2IPO Capital,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2014,CDH Investments, Zero2IPO Capital,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2007,Sequoia Capital, SIG Capital, Steamboat Ventures,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2007,Adobe Systems, China Renaissance Capital Investment, CID Group, Hikari Private Equity, Sequoia Capital, SIG Capital, Steamboat Ventures,,,,,,,,,,,,,,,,,,,,
