total_box,budget,release_coverage,pindex
28195,0,0.000212269157291446,2823405
53606916,5.5e+07,0.0774862092076094,2823444
30407,0,0.000199970004499325,2823652
20523,0,2.57771820384596e-05,2823662
130146,0,0.000125529577906794,2823786
37950822,0,0.0672214750056041,2823980
95020213,4e+07,0.085073955626624,2824233
853,0,2.54887467183239e-05,2824425
38362475,1.75e+08,0.0672096741954827,2824470
131921738,1.3e+08,0.102154972418415,2824613
17801,0,7.57958564931784e-05,2824638
17479,1.2e+07,0.000151591712986357,2824841
1020921,0,0.00235258784663129,2824880
162685,0,0.000675743317649414,2825100
120908074,7.5e+07,0.099135446685879,2825226
1064454,0,0.00332866152768045,2825332
35014192,8e+06,0.0626326427488631,2825397
84689,0,0.000159201867968584,2825501
5186646,0,0.0345060823214719,2825565
16757163,0,0.0547003043783657,2825603
14057,0,7.57958564931784e-05,2825942
28180,0,0.000199970004499325,2826544
15629,0,2.80206231786595e-05,2827191
3602884,0,0.0487368586223129,2827285
116750901,4.1e+07,0.0724333109168348,2827315
1305114,0,0.0101627502727623,2827320
19623396,0,0.0313987035857469,2827372
1083486,0,0.00105824771815336,2827573
17213467,0,0.0558849306593803,2827644
100280,0,0.000404858299595142,2827681
36663315,4e+07,0.0638280681909994,2827718
31749894,3e+07,0.0525068182397472,2827760
4842699,5e+06,0.0224716292556117,2828049
3195,0,5.48922739124468e-05,2828209
2955917,0,0.0108521769207488,2828260
1411927,8e+06,0.0172940234257683,2828310
125144,0,0.00039994000899865,2828800
127257,0,0.000403408804397156,2828812
170742341,5.8e+07,0.0633695713400552,2828997
1714,0,9.99850022496626e-05,2829004
9969694,0,0.00385821675710659,2829006
54008,0,0.000504261005496445,2829011
1759252,1e+07,0.00545730166750884,2829136
10152,0,5.05305709954522e-05,2829287
48713,0,0.000199880071956826,2829291
18089,0,0.00015016518169987,2829319
2279692,0,0.00182637282357239,2829912
17287898,0,0.0422227425271209,2830008
52632,0,0.000282441550290287,2830024
162798565,1.2e+08,0.0811578084757668,2830088
4187,0,2.49850089946032e-05,2830561
14202899,0,0.0329453727177083,2831102
137855863,2e+08,0.0938750541635868,2831149
51438175,1.9e+07,0.0720461095100865,2831331
56709981,7.5e+07,0.0678705221259658,2831400
4390,0,5.85343011004449e-05,2831969
1494969,0,0,2832322
1497222,0,0.0114337001482869,2832603
4179890,0,0.00293673665431591,2833353
34837,0,8.41514726507714e-05,2833474
1339668,0,0.00365033621517771,2833792
2165637,0,0.0341224313915596,2833938
3766879,0,0.0137864840102962,2834295
50075,0,8.44927617867403e-05,2834611
10125417,0,0.0381420066597154,2834690
12890752,0,0.0632950909232811,2834738
141340178,4e+07,0.0872927738557944,2835022
29817,0,0.000277343553023045,2835084
6029824,0,0.0549261200788361,2835250
62493712,0,0.0528773401357603,2835301
28909,0,0.000280504908835905,2835612
72568,0,0.000128885910192298,2835689
3018,0,0.000249850089946032,2836325
491910,0,0.000475523075382921,2836434
45350,0,0.000453834904946801,2836560
8629,0,2.57506308904568e-05,2836686
573,0,2.53036437246964e-05,2836688
67349198,9.2e+07,0.0888217069758145,2836689
2308390,0,0.0297500843043951,2836770
200227,0,0.00361293582617484,2836797
238609,0,0.000960614793467819,2836859
7459300,3.5e+07,0.0538071065989848,2836861
35348597,0,0.078152497934849,2836867
527034,0,0.000299748960245794,2836972
12901,0,0.000100852201099289,2837016
517809,0,0.00156188988676298,2837090
15545431,2e+07,0.070687237026648,2837137
40041683,2500000,0.053967619428343,2837388
17329486,4e+06,0.0578135949544499,2837389
31504633,3.2e+07,0.0357673530036086,2837662
4212494,0,0.013018370090108,2837769
1029872,6500000,0.00178399890215452,2837778
1677807,0,0.0167017872473269,2837802
984,0,2.80504908835905e-05,2837992
105651,0,0.000128885910192298,2838267
13406717,0,0.0668749775527062,2838528
35000,0,0.000189074423679298,2838579
2915,0,7.46751630407726e-05,2838604
15429177,0,0.0627460530053979,2838661
56569702,6.5e+07,0.083929476708162,2838748
1562546,0,0.00252130502748223,2839078
5202,0,2.57771820384596e-05,2839098
18807,0,0.000109784547824894,2839109
107533928,4e+07,0.0826524946458317,2839112
101531,0,0.00232756031634798,2839163
15635,0,2.74461369562234e-05,2839309
4366722,0,0.0379099325278519,2839427
15375,0,0.000277918140474987,2839637
96868,0,0.000607287449392713,2839731
10015449,0,0.0481988291491578,2839810
30104,5e+05,0.000375412954249675,2840051
21845719,3e+07,0.0663871789428996,2840166
164308,0,0.000658707286949362,2840231
29392418,0,0.0516692270223688,2840325
26736098,3.6e+07,0.0699859747545582,2840609
92706,0,0.00789451583102377,2840635
208392,0,0.000234283483014448,2840697
544965,0,0.000511701812501683,2840897
46874,0,9.9940035978413e-05,2840981
680113,0,0.00130143157473221,2841042
1526697,0,0.000277623542476402,2841427
16071990,1.1e+07,0.029597910102071,2841468
9176787,1.6e+07,0.0349280816621127,2841517
17781006,0,0.0215988779803647,2841521
1220842,0,0.00678182022556109,2841601
43139300,4e+07,0.0790869956952648,2841605
14286,0,7.1831340013648e-05,2841812
3740823,0,0.0379100911036989,2842038
2101087,0,0.00035915670006824,2842050
5749134,2e+07,0.0204725197717489,2842184
17237855,0,0.0200470517569326,2842185
12088,0,7.50825908499349e-05,2842442
7721852,0,0.0344156686410999,2842834
30331165,0,0.0634804495434324,2843037
6264058,0,0.0381339443988067,2843091
63075011,3.5e+07,0.0843117408906883,2843234
44793222,0,0.0609815247585872,2843237
49369899,0,0.0763975960914869,2843238
29999213,0,0.0297477336009896,2843239
22168359,0,0.0829806727455172,2843240
134485,0,0.000269079412061485,2843937
15515460,1.4e+07,0.0550302041648612,2843977
7117,0,4.99700179892065e-05,2843988
67638368,0,0.0832650433153828,2844000
31130999,0,0.0766409115741825,2844029
19480,0,2.49850089946032e-05,2844191
7296,0,0,2844222
231378,0,0.000882456759618779,2844339
63521,0,0.00149507655823065,2844546
20342852,0,0.0199661590524535,2844806
1130732,0,0.00128775462420979,2844876
345972,0,0.0136120389325863,2845192
10438504,0,0.0221194041965989,2845522
15792,0,0.000100110121133247,2845690
10730,0,0.000424745152908255,2845898
43440294,0,0.042833346553502,2846055
5501616,0,0.00684628400364441,2846609
118634549,1.4e+08,0.0994373541923974,2846946
9228768,0,0.00667805164020085,2846957
3417056,0,0.0144872763920383,2847085
133122,0,0.00618488688529097,2847220
91578,0,0.000503905265810028,2847270
16316273,3e+07,0.0197553266214001,2847402
3430583,0,0.011952489789801,2847424
8345056,0,0.0533186882159109,2847429
9176000,7e+06,0.00902301633828665,2847462
18642,0,0.000249850089946032,2847473
107099,0,0.00083488190460801,2847654
1196,0,4.99925011248313e-05,2847690
3330352,0,0.0182645535854386,2847744
1782005,0,0.00436080543198314,2847854
1900451,8e+07,0.0216514540437274,2848066
13739,0,2.49962505624156e-05,2848103
12282994,0,0.0271277861505513,2848616
572212,0,0.00164975253711943,2849183
14831,0,5.61009817671809e-05,2849268
8348,0,0.000174895062962223,2849473
34767836,0,0.0380411018801924,2849685
7936780,0,0.0385375804173859,2849718
18450127,4e+07,0.0477787302707882,2849778
76806,0,0.000180440274269217,2849792
1212487,0,0.00951186821738942,2849914
108766007,0,0.0777975850122768,2849949
71368,0,0,2850653
21440752,1.2e+07,0.0722141872120009,2851017
35061031,1.9e+07,0.0726376958059626,2851071
403069,0,0.000188521720395357,2851666
26307600,2.8e+07,0.0679247171889078,2851678
50008143,0,0.0630320008619761,2851696
29504281,0,0.053941908713693,2851731
4750660,0,0.00662519188817969,2851746
7718,0,2.57771820384596e-05,2851764
41281092,11800000,0.067809908092356,2851768
20169,0,0.000103002523561827,2852330
1170,0,2.52130502748223e-05,2853043
175705,0,0.00104937037777334,2853310
6601,0,4.99700179892065e-05,2854524
10727683,2.5e+07,0.0657644026003138,2854723
7171,0,0.000425468014816298,2855131
28087155,3.5e+07,0.0787771601819101,2855214
26859,0,2.60314981127164e-05,2855248
1810,0,2.60314981127164e-05,2855874
41385278,3e+07,0.0492042143017261,2855974
159668,0,0.000302372247725336,2856008
3003,0,7.56391508244667e-05,2856028
48637684,12500000,0.0563870257283011,2856091
38702310,0,0.0419272534508844,2856094
65016287,3e+07,0.0347455727415378,2856135
288751,0,0.000325357893683051,2856207
18869631,0,0.0375286436940637,2856264
16192320,0,0.0333845404473753,2856272
37519139,6.9e+07,0.0783873733044224,2856357
1031,0,0,2856564
50068310,0,0.0805899890161619,2856753
15322921,0,0.0320352387626389,2856770
66217,0,7.80944943381492e-05,2856774
4772155,0,0.00883656095982476,2856802
36323505,2.3e+07,0.0759338799947937,2857386
17161,0,2.49962505624156e-05,2857546
